NUANO,FLTIPOPROCESSO,NUTRAMITE,CDASSUNTO,CDTIPOPARECER,CDSETORRESP,CDSETORABERTURA,CDSETORAUTUACAO,CDTIPOPROCESSO,CDUSUARIO,CDSETORORIGEM,CDSETORDESTINO
2018,F,11,80,1,1537,7,7,1,LJACQUES,50,53
2018,F,3,80,1,1537,7,7,1,SFLUZ,1537,7
2018,F,10,10,1,2004,2004,2004,1,WBALSAMO,50,2004
2018,F,12,10,1,2004,2004,2004,1,DDURIEUX,2010,2004
2018,F,4,10,1,2004,2004,2004,1,VASILVA,2004,50
2018,F,5,6,1,2010,2010,2010,1,MMANDRADE,1537,2010
2018,F,7,15,1,7,7,2004,1,VASILVA,2004,50
2018,F,9,15,1,7,7,2004,1,FEMSANTOS,2004,2010
2018,F,14,15,4,7,7,2004,1,MTCESCONETO,633,50
2018,F,72,110,,51,51,51,1,MCARVALHO,92,5901
2018,F,16,110,,51,51,51,1,DORIS,51,5895
2018,F,2,44,1,10,10,10,1,MGUEDES,10,1537
2018,F,6,110,,51,51,51,1,DORIS,51,5895
2018,F,3,89,1,50,7,187,1,LJACQUES,50,53
2018,F,24,110,1,51,51,51,1,BLEIRIA,2002,51
2018,F,26,110,1,51,51,51,1,NELIZA,1537,6027
2018,F,5,44,1,10,10,10,1,SRPATRICIO,7,7
2018,F,7,44,1,10,10,10,1,MMANDRADE,50,7
2018,F,8,110,4,51,51,51,1,GERSON,51,93
2018,F,4,44,1,1996,1996,1996,1,PREMOR,6080,1996
2018,F,6,16,4,50,7,329,1,YFERREIRA,50,2004
2018,F,6,71,1,2012,2012,2012,1,AHSANTOS,1537,50
2018,F,15,97,1,1788,51,51,1,NELIZA,1537,6027
2018,F,17,97,,1788,51,51,1,LRGREGORIO,51,2002
2018,F,13,97,1,1788,51,51,1,BBRIBEIRO,2002,51
2018,F,8,97,1,1788,51,51,1,MCARVALHO,92,2002
2018,F,6,97,1,1788,51,51,1,AHSANTOS,1537,2002
2018,F,72,110,1,51,51,51,1,BLEIRIA,2002,92
2018,F,74,110,,51,51,51,1,MCARVALHO,92,2002
2018,F,45,110,1,51,51,51,1,ACERVI,2002,1537
2018,F,49,110,1,51,51,51,1,SRPATRICIO,1537,6027
2018,F,64,110,1,51,51,51,1,MMANDRADE,1537,6027
2018,F,23,110,1,51,51,51,1,AHSANTOS,1537,51
2018,F,16,110,1,51,51,51,1,NELIZA,7,51
2018,F,6,91,4,2008,2002,2008,1,BVIEIRA,6080,2002
2018,F,5,91,1,2008,2002,2008,1,BBRIBEIRO,2002,6080
2018,F,4,6,1,1537,7,2010,1,AHSANTOS,1537,2012
2018,F,5,2,1,6230,50,6230,1,LJACQUES,50,7
2018,F,7,17,4,2006,2006,2006,1,LJACQUES,50,2006
2018,F,3,4,1,6230,50,6230,1,SRPATRICIO,7,7
2018,F,4,2,1,50,50,50,1,MMANDRADE,7,6029
2018,F,4,16,1,50,7,7,1,JSOUZA,7,6029
2018,F,4,6,1,2010,7,2010,1,NELIZA,1537,2010
2018,F,7,80,4,1,7,7,1,APPEREIRA,6029,7
2018,F,22,110,1,51,51,51,1,DORIS,51,2002
2018,F,4,101,,10,10,10,1,VASMAFIOLETTI,10,5893
2018,F,2,101,1,10,10,10,1,VASMAFIOLETTI,10,5893
2018,F,6,16,4,2004,2004,7,1,LJACQUES,50,2004
2018,F,4,94,1,50,7,1788,1,AACASTRO,2004,7
2018,F,5,80,1,50,7,7,1,MMANDRADE,2,7
2018,F,5,79,1,1537,7,7,1,JSOUZA,6027,7
2018,F,7,29,1,1791,1791,31,1,OBOING,1791,633
2018,F,2,29,1,1791,1791,31,1,OBOING,1791,7
2018,F,5,3,1,1,7,7,1,ALIGARAUJO,6029,2
2018,F,6,110,1,51,51,51,1,HVMAZZOLA,51,5901
2018,F,12,7,1,6029,7,10,1,NELIZA,6027,10
2018,F,13,7,1,6029,7,10,1,LFUHR,10,6027
2018,F,7,44,1,10,10,10,1,PREMOR,6080,10
2018,F,4,6,1,50,7,10,1,SDMARCOS,633,50
2018,F,6,6,1,50,7,10,1,ISRICARTE,2012,50
2018,F,9,110,1,51,51,51,1,GERSON,51,7
2018,F,14,110,1,51,51,51,1,LRGREGORIO,51,2002
2018,F,11,110,1,51,51,51,1,GERSON,51,2002
2018,F,10,89,1,50,7,412,1,LCAVALLERI,2012,92
2018,F,5,7,1,50,7,7,1,ALIGARAUJO,6029,50
2018,F,4,91,1,6227,2002,6227,1,BVIEIRA,6080,1
2018,F,2,23,,2004,2004,2004,1,SAKOERICH,2004,2012
2018,F,2,39,4,6080,7,6080,1,SFLUZ,7,6080
2018,F,10,110,1,51,51,51,1,SRPATRICIO,1537,6027
2018,F,7,110,1,51,51,51,1,MMANDRADE,7,5895
2018,F,14,110,1,51,2002,2002,1,REBSOUZA,633,2002
2018,F,10,110,1,51,2002,2002,1,GERSON,51,2002
2018,F,5,110,1,51,2002,2002,1,GERSON,51,2002
2018,F,4,7,1,10,7,10,1,SRPATRICIO,7,7
2018,F,11,110,1,51,2002,2002,1,FPGCOSTA,51,1537
2018,F,5,80,1,6080,7,10,1,VOLIVEIRA,2018,10
2018,F,2,89,1,50,7,200,1,LMDSANTOS,7,50
2018,F,13,7,4,1,7,7,1,LJACQUES,50,2004
2018,F,11,7,1,1,7,7,1,SRPATRICIO,7,6029
2018,F,2,80,4,1,7,60,1,NELIZA,7,60
2018,F,7,89,1,50,7,7,1,MVALERIO,6230,50
2018,F,4,101,1,7,7,10,1,GNDASILVA,5893,10
2018,F,15,80,1,1,7,7,1,ILIMA,53,7
2018,F,95,110,1,51,51,51,1,FPGCOSTA,51,2002
2018,F,92,110,1,51,51,51,1,SRPATRICIO,7,51
2018,F,107,110,1,51,51,51,1,MMANDRADE,1,7
2018,F,86,110,1,51,51,51,1,MMANDRADE,1537,6027
2018,F,17,110,2,51,51,51,1,MMANDRADE,7,5895
2018,F,23,110,1,51,51,51,1,MSCOSTA,5895,7
2018,F,51,110,1,51,51,51,1,ACERVI,2002,51
2018,F,47,110,1,51,51,51,1,NELIZA,6027,51
2018,F,6,80,1,1,7,7,1,LAVILLA,7,6027
2018,F,16,44,,1996,1996,1996,1,MWENTZ,1996,589
2018,F,10,44,1,1996,1996,1996,1,MWENTZ,1996,589
2018,F,7,44,1,10,10,10,1,VAMARAL,10,7
2018,F,9,44,1,10,10,10,1,LFUHR,10,2018
2018,F,16,110,1,51,2002,2002,1,MMANDRADE,1537,6027
2018,F,7,110,1,51,2002,2002,1,AHSANTOS,1537,2002
2018,F,4,101,1,10,10,10,1,LFUHR,10,5893
2018,F,3,3,1,50,7,7,1,MMANDRADE,7,6029
2018,F,9,4,1,2012,6230,6230,1,MVALERIO,6230,50
2018,F,4,7,1,7,7,10,1,VAMARAL,2018,10
2018,F,12,4,4,6230,6230,6230,1,MVALERIO,6230,50
2018,F,9,4,1,6230,6230,6230,1,WBALSAMO,6230,50
